result,table,_start,_stop,_time,_measurement,event_type,kill_chain_stage,layer,mitre_tactic,mitre_technique_id,mitre_technique_name,protocol,purdue_level,service,severity,narrative,source_ip,target_ip,target_service,value,correlation_id,session_id,alert_type,detail,score,delta,live_pressure
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:16.930103+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0811,Data from Information Repositories,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0811 - Data from Information Repositories,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:22.202124+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0814,Denial of Service,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0814 - Denial of Service,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,2,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:03:56.670355+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0846,Network Service Discovery,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0846 - Network Service Discovery,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:01.170844+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:11.684523+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:32.218286+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:10.575701+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,4,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:00.396434+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0885,Remote Services,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0885 - Remote Services,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,5,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:27.122378+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0887,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0887 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,6,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:59.832401+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0891,Credentials in Files,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0891 - Credentials in Files,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,7,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:03:37.875635+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T1018,Remote System Discovery,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1018 - Remote System Discovery,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,8,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:57.158587+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T1046,Network Service Discovery,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1046 - Network Service Discovery,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,9,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:03:37.401376+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T1595,Active Scanning,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1595 - Active Scanning,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,10,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:03:37.573458+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T1595.002,Active Scanning: Vulnerability Scanning,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1595.002 - Active Scanning: Vulnerability Scanning,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,11,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:59.493789+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Credential Access,T1552.004,Unsecured Credentials: API,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1552.004 - Unsecured Credentials: API,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,12,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:59.686930+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Discovery,T0887,System Discovery,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0887 - System Discovery,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,13,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:00.024490+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Discovery,T1005,Data from Local System,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1005 - Data from Local System,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,14,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:22.769914+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Impact,T0822,Loss of View,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0822 - Loss of View,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,15,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:59.506554+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Initial Access,T0890,Valid Accounts,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0890 - Valid Accounts,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,16,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:00.207947+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Privilege Escalation,T1078.001,Valid Accounts: Default Accounts,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1078.001 - Valid Accounts: Default Accounts,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,17,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:57.986355+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Reconnaissance,T1596,Search Open Technical Databases,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T1596 - Search Open Technical Databases,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,18,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:03:46.492000+00:00,security_alerts,kill_chain_completed,Stage 1 - IT Intrusion,Level 2,Attack,T0000,Unknown Technique,N/A,Level 2,attacker_node,INFO,Kill chain execution completed,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,18,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:16.957851+00:00,security_alerts,kill_chain_completed,Stage 1 - IT Intrusion,Level 2,Attack,T0000,Unknown Technique,N/A,Level 2,attacker_node,INFO,Kill chain execution completed,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,18,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:01.511760+00:00,security_alerts,kill_chain_completed,Stage 1 - IT Intrusion,Level 2,Attack,T0000,Unknown Technique,N/A,Level 2,attacker_node,INFO,Kill chain execution completed,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,18,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:12.028732+00:00,security_alerts,kill_chain_completed,Stage 1 - IT Intrusion,Level 2,Attack,T0000,Unknown Technique,N/A,Level 2,attacker_node,INFO,Kill chain execution completed,172.28.0.50,unknown,unknown,1.0,,,,,,,
