!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1505  IF_anom=0  LSTM_err=0.000478  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0717  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1327  IF_anom=0  LSTM_err=0.000017  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1050  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1669  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1559  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1615  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1186  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1534  IF_anom=0  LSTM_err=0.000026  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0783  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1081  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1874  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1504  IF_anom=0  LSTM_err=0.000485  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1573  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1577  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1136  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0263  IF_anom=0  LSTM_err=0.004752  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1338  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! REPLAY ATTACK DETECTED !!! Replay detected [zero_var]: 116 samples mean=370.0 PSI stdev=0.0000 baseline_dev=8.2% fp_match=False lstm_err=0.000005 post_attack=True
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1699  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0698  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1353  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1865  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1276  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0931  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=500
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=1200
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=200
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=2800
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1482  IF_anom=0  LSTM_err=0.040035  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1383  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1702  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1260  IF_anom=0  LSTM_err=0.000017  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1249  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0728  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1139  IF_anom=0  LSTM_err=0.000027  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0779  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1558  IF_anom=0  LSTM_err=0.000025  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1758  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1505  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0924  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=-0.0036  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1488  IF_anom=0  LSTM_err=0.000017  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1298  IF_anom=0  LSTM_err=0.000736  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0710  IF_anom=0  LSTM_err=0.000025  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1269  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1458  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1444  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1270  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1298  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1246  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0876  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=-0.0085  IF_anom=0  LSTM_err=0.000028  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1004  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=500
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=1200
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=200
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=2600
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0218  IF_anom=0  LSTM_err=0.023933  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1383  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0269  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
