table,_time,_value,_field,_measurement
0,2026-04-14T11:13:57.316053411Z,1,detected,attack_status
0,2026-04-14T11:15:30.641034519Z,1,detected,attack_status
0,2026-04-14T11:17:03.274866617Z,1,detected,attack_status
0,2026-04-14T11:18:36.089515365Z,1,detected,attack_status
0,2026-04-14T11:20:09.065907005Z,1,detected,attack_status
0,2026-04-14T11:21:42.252783078Z,1,detected,attack_status
0,2026-04-14T11:23:15.58799076Z,1,detected,attack_status
0,2026-04-14T11:24:49.124184327Z,1,detected,attack_status
0,2026-04-14T11:26:22.810161814Z,1,detected,attack_status
0,2026-04-14T11:27:56.709493002Z,1,detected,attack_status
0,2026-04-14T11:29:30.733407022Z,1,detected,attack_status
0,2026-04-14T11:31:04.965414556Z,1,detected,attack_status
0,2026-04-14T11:32:39.361247293Z,1,detected,attack_status
0,2026-04-14T11:34:13.939959655Z,1,detected,attack_status
0,2026-04-14T11:35:48.691755634Z,1,detected,attack_status
0,2026-04-14T11:37:23.617701365Z,1,detected,attack_status
0,2026-04-14T11:38:58.732296578Z,1,detected,attack_status
0,2026-04-14T11:40:34.005914897Z,1,detected,attack_status
0,2026-04-14T11:42:09.466243449Z,1,detected,attack_status
0,2026-04-14T11:43:45.098372362Z,1,detected,attack_status
0,2026-04-14T11:45:20.911752761Z,1,detected,attack_status
0,2026-04-14T11:46:56.912122698Z,1,detected,attack_status
0,2026-04-14T11:48:33.122942878Z,1,detected,attack_status
0,2026-04-14T11:50:09.442479324Z,1,detected,attack_status
0,2026-04-14T11:51:45.909435581Z,1,detected,attack_status
0,2026-04-14T11:53:22.38357267Z,1,detected,attack_status
0,2026-04-14T11:54:58.831218048Z,1,detected,attack_status
0,2026-04-14T11:56:35.301877528Z,1,detected,attack_status
0,2026-04-14T11:58:11.752606649Z,1,detected,attack_status
0,2026-04-14T11:59:48.212905517Z,1,detected,attack_status
0,2026-04-14T12:01:24.66974837Z,1,detected,attack_status
0,2026-04-14T12:03:01.102384048Z,1,detected,attack_status
0,2026-04-14T12:04:37.497620595Z,1,detected,attack_status
0,2026-04-14T12:06:13.946352907Z,1,detected,attack_status
0,2026-04-14T12:07:50.598708876Z,1,detected,attack_status
0,2026-04-14T12:09:27.382522741Z,1,detected,attack_status
0,2026-04-14T12:11:04.342630573Z,1,detected,attack_status
0,2026-04-14T12:12:41.495947344Z,1,detected,attack_status
0,2026-04-14T12:14:18.887054381Z,1,detected,attack_status
0,2026-04-14T12:15:56.509978351Z,1,detected,attack_status
0,2026-04-14T12:17:34.31850826Z,1,detected,attack_status
0,2026-04-14T12:19:12.352552448Z,1,detected,attack_status
0,2026-04-14T12:20:50.530994538Z,1,detected,attack_status
0,2026-04-14T12:22:28.913646322Z,1,detected,attack_status
0,2026-04-14T12:24:07.482750491Z,1,detected,attack_status
0,2026-04-14T12:25:46.225889487Z,1,detected,attack_status
0,2026-04-14T12:27:25.086211195Z,1,detected,attack_status
0,2026-04-14T12:29:04.147503476Z,1,detected,attack_status
0,2026-04-14T12:30:43.438723982Z,1,detected,attack_status
0,2026-04-14T12:32:22.897785981Z,1,detected,attack_status
0,2026-04-14T12:34:02.61293154Z,1,detected,attack_status
0,2026-04-14T12:35:42.708694295Z,1,detected,attack_status
0,2026-04-14T12:37:23.064818Z,1,detected,attack_status
0,2026-04-14T12:39:03.550125764Z,1,detected,attack_status
0,2026-04-14T13:00:47.915983082Z,1,detected,attack_status
0,2026-04-14T13:10:24.410732842Z,1,detected,attack_status
1,2026-04-14T09:52:17.452807694Z,DETECTED,status,attack_status
1,2026-04-14T09:53:18.727653241Z,DETECTED,status,attack_status
1,2026-04-14T09:54:19.5492538Z,DETECTED,status,attack_status
1,2026-04-14T09:55:20.144725008Z,DETECTED,status,attack_status
1,2026-04-14T09:56:20.826770562Z,DETECTED,status,attack_status
1,2026-04-14T09:57:21.631399008Z,DETECTED,status,attack_status
1,2026-04-14T09:58:22.4983082Z,DETECTED,status,attack_status
1,2026-04-14T09:59:23.431658603Z,DETECTED,status,attack_status
1,2026-04-14T10:00:24.44193483Z,DETECTED,status,attack_status
1,2026-04-14T10:03:38.497670452Z,DETECTED,status,attack_status
1,2026-04-14T10:04:39.895810736Z,DETECTED,status,attack_status
1,2026-04-14T10:05:41.354830958Z,DETECTED,status,attack_status
