table,_time,_value,_field,_measurement
0,2026-04-14T09:59:50.151871498Z,3,func_code,modbus_events
0,2026-04-14T10:00:26.188615899Z,3,func_code,modbus_events
0,2026-04-14T10:00:26.19177811Z,6,func_code,modbus_events
0,2026-04-14T10:00:28.19915346Z,6,func_code,modbus_events
0,2026-04-14T10:00:40.21185559Z,6,func_code,modbus_events
0,2026-04-14T10:00:41.215031057Z,6,func_code,modbus_events
0,2026-04-14T10:00:42.220308729Z,6,func_code,modbus_events
0,2026-04-14T10:00:43.22576861Z,6,func_code,modbus_events
0,2026-04-14T10:00:44.231050524Z,6,func_code,modbus_events
0,2026-04-14T10:00:45.236218601Z,6,func_code,modbus_events
0,2026-04-14T10:00:46.241388859Z,6,func_code,modbus_events
0,2026-04-14T10:00:47.246580717Z,6,func_code,modbus_events
0,2026-04-14T10:00:48.251949165Z,6,func_code,modbus_events
0,2026-04-14T10:00:49.257232784Z,6,func_code,modbus_events
0,2026-04-14T10:00:50.260988584Z,6,func_code,modbus_events
0,2026-04-14T10:00:51.266208547Z,6,func_code,modbus_events
0,2026-04-14T10:00:52.271326631Z,6,func_code,modbus_events
0,2026-04-14T10:00:53.276370198Z,6,func_code,modbus_events
0,2026-04-14T10:00:54.281380696Z,6,func_code,modbus_events
0,2026-04-14T10:01:01.644571577Z,6,func_code,modbus_events
0,2026-04-14T10:01:01.647561771Z,3,func_code,modbus_events
0,2026-04-14T10:01:03.649159497Z,6,func_code,modbus_events
0,2026-04-14T10:01:03.652134962Z,3,func_code,modbus_events
0,2026-04-14T10:02:11.156302056Z,6,func_code,modbus_events
0,2026-04-14T10:02:11.159196041Z,3,func_code,modbus_events
0,2026-04-14T10:02:12.140168915Z,6,func_code,modbus_events
0,2026-04-14T10:02:12.813676177Z,6,func_code,modbus_events
0,2026-04-14T10:02:20.046910529Z,6,func_code,modbus_events
0,2026-04-14T10:02:20.049741515Z,3,func_code,modbus_events
0,2026-04-14T12:33:16.764488017Z,3,func_code,modbus_events
0,2026-04-14T12:33:52.803578549Z,3,func_code,modbus_events
0,2026-04-14T12:33:52.8051375Z,6,func_code,modbus_events
0,2026-04-14T12:33:54.812296108Z,6,func_code,modbus_events
0,2026-04-14T12:34:06.825190529Z,6,func_code,modbus_events
0,2026-04-14T12:34:07.828633061Z,6,func_code,modbus_events
0,2026-04-14T12:34:08.831995785Z,6,func_code,modbus_events
0,2026-04-14T12:34:09.83543639Z,6,func_code,modbus_events
0,2026-04-14T12:34:10.83865998Z,6,func_code,modbus_events
0,2026-04-14T12:34:11.843766479Z,6,func_code,modbus_events
0,2026-04-14T12:34:12.849006946Z,6,func_code,modbus_events
0,2026-04-14T12:34:13.854170536Z,6,func_code,modbus_events
0,2026-04-14T12:34:14.857602918Z,6,func_code,modbus_events
0,2026-04-14T12:34:15.862686032Z,6,func_code,modbus_events
0,2026-04-14T12:34:16.867748637Z,6,func_code,modbus_events
0,2026-04-14T12:34:17.872811544Z,6,func_code,modbus_events
0,2026-04-14T12:34:18.877791474Z,6,func_code,modbus_events
0,2026-04-14T12:34:19.881474357Z,6,func_code,modbus_events
0,2026-04-14T12:34:20.88646834Z,6,func_code,modbus_events
0,2026-04-14T12:34:28.256265722Z,6,func_code,modbus_events
0,2026-04-14T12:34:28.257640198Z,3,func_code,modbus_events
0,2026-04-14T12:34:30.259218715Z,6,func_code,modbus_events
0,2026-04-14T12:34:30.262113884Z,3,func_code,modbus_events
0,2026-04-14T12:36:01.527506556Z,6,func_code,modbus_events
0,2026-04-14T12:36:01.53025889Z,3,func_code,modbus_events
0,2026-04-14T12:36:02.327177538Z,6,func_code,modbus_events
0,2026-04-14T12:36:08.159628863Z,6,func_code,modbus_events
0,2026-04-14T12:36:08.161205107Z,3,func_code,modbus_events
0,2026-04-14T12:36:09.659261577Z,6,func_code,modbus_events
0,2026-04-14T12:59:52.231011998Z,6,func_code,modbus_events
0,2026-04-14T12:59:52.233144932Z,3,func_code,modbus_events
0,2026-04-14T12:59:55.567575722Z,6,func_code,modbus_events
0,2026-04-14T13:00:43.248056524Z,6,func_code,modbus_events
0,2026-04-14T13:00:43.249406247Z,3,func_code,modbus_events
0,2026-04-14T13:06:43.459517236Z,6,func_code,modbus_events
0,2026-04-14T13:06:43.462623004Z,3,func_code,modbus_events
0,2026-04-14T13:06:52.264773329Z,6,func_code,modbus_events
0,2026-04-14T13:06:52.266070786Z,3,func_code,modbus_events
0,2026-04-14T13:06:53.719798996Z,6,func_code,modbus_events
0,2026-04-14T13:09:26.430425557Z,3,func_code,modbus_events
0,2026-04-14T13:10:02.465563429Z,3,func_code,modbus_events
0,2026-04-14T13:10:02.469276798Z,6,func_code,modbus_events
