table,_time,_value,_field,_measurement
0,2026-04-14T09:50:19.709704642Z,11.333333333333329,delta,security_alerts
0,2026-04-14T09:50:20.225657765Z,8,delta,security_alerts
0,2026-04-14T09:50:20.739975482Z,7.666666666666671,delta,security_alerts
0,2026-04-14T09:50:21.254751003Z,5,delta,security_alerts
0,2026-04-14T09:50:21.769870691Z,6.333333333333329,delta,security_alerts
0,2026-04-14T09:50:22.286301022Z,4.166666666666671,delta,security_alerts
0,2026-04-14T09:50:22.801030097Z,3.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:23.314211573Z,2.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:23.831096601Z,3.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:24.345843589Z,2.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:24.860249172Z,2.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:25.376512611Z,2,delta,security_alerts
0,2026-04-14T09:50:25.890797887Z,2.3333333333333286,delta,security_alerts
0,2026-04-14T09:50:26.405960813Z,1.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:26.92031874Z,1,delta,security_alerts
0,2026-04-14T09:50:27.434820017Z,0.6666666666666714,delta,security_alerts
0,2026-04-14T09:50:27.950022765Z,1.3333333333333286,delta,security_alerts
0,2026-04-14T09:50:28.465470341Z,1,delta,security_alerts
0,2026-04-14T09:50:28.981033235Z,1.6666666666666572,delta,security_alerts
0,2026-04-14T09:50:29.495553076Z,1.3333333333333428,delta,security_alerts
0,2026-04-14T09:50:30.009264587Z,1,delta,security_alerts
0,2026-04-14T09:50:30.523944788Z,0.6666666666666572,delta,security_alerts
0,2026-04-14T09:50:31.038839675Z,0.3333333333333428,delta,security_alerts
0,2026-04-14T09:50:31.555566199Z,0.1666666666666572,delta,security_alerts
0,2026-04-14T09:50:32.070564278Z,1,delta,security_alerts
0,2026-04-14T09:50:32.583769382Z,0.8333333333333428,delta,security_alerts
0,2026-04-14T09:50:33.09886927Z,0.6666666666666572,delta,security_alerts
0,2026-04-14T09:50:33.614058759Z,0.5,delta,security_alerts
0,2026-04-14T09:50:34.129766522Z,0.3333333333333428,delta,security_alerts
0,2026-04-14T09:50:34.645326818Z,0.1666666666666572,delta,security_alerts
0,2026-04-14T09:50:35.159246465Z,0,delta,security_alerts
0,2026-04-14T09:50:35.674829303Z,0,delta,security_alerts
0,2026-04-14T09:50:36.190192064Z,0,delta,security_alerts
0,2026-04-14T09:50:36.702792853Z,0,delta,security_alerts
0,2026-04-14T09:50:37.218938135Z,0,delta,security_alerts
0,2026-04-14T09:50:37.732175488Z,0,delta,security_alerts
0,2026-04-14T09:50:38.246846761Z,0,delta,security_alerts
0,2026-04-14T09:50:38.762424814Z,0,delta,security_alerts
0,2026-04-14T09:50:39.278945446Z,0,delta,security_alerts
0,2026-04-14T09:50:39.793513793Z,0,delta,security_alerts
0,2026-04-14T09:50:40.309404105Z,0,delta,security_alerts
0,2026-04-14T09:50:40.823060097Z,0,delta,security_alerts
0,2026-04-14T09:50:41.336669271Z,0,delta,security_alerts
0,2026-04-14T09:50:41.850823138Z,0,delta,security_alerts
0,2026-04-14T09:50:42.365387281Z,0,delta,security_alerts
0,2026-04-14T09:50:42.880695435Z,0,delta,security_alerts
0,2026-04-14T09:50:43.396950438Z,0,delta,security_alerts
0,2026-04-14T09:50:43.91093153Z,0,delta,security_alerts
0,2026-04-14T09:50:44.426329966Z,0,delta,security_alerts
0,2026-04-14T09:50:44.941788131Z,1,delta,security_alerts
0,2026-04-14T09:50:45.456754265Z,0.8333333333333428,delta,security_alerts
0,2026-04-14T09:50:45.972076354Z,0.6666666666666572,delta,security_alerts
0,2026-04-14T09:50:46.485953243Z,0.5,delta,security_alerts
