table,_time,_value,_field,_measurement
0,2026-04-14T09:50:15.590557154Z,0,anomaly_score,security_metrics
0,2026-04-14T09:50:25.617281663Z,0,anomaly_score,security_metrics
0,2026-04-14T09:50:35.78725881Z,0,anomaly_score,security_metrics
0,2026-04-14T09:50:45.949551014Z,0,anomaly_score,security_metrics
0,2026-04-14T09:50:56.119100851Z,0,anomaly_score,security_metrics
0,2026-04-14T09:51:06.304073685Z,0,anomaly_score,security_metrics
0,2026-04-14T09:51:16.481598269Z,0,anomaly_score,security_metrics
0,2026-04-14T09:51:26.658285634Z,0,anomaly_score,security_metrics
0,2026-04-14T09:51:36.859384276Z,0,anomaly_score,security_metrics
0,2026-04-14T09:51:47.049640979Z,0,anomaly_score,security_metrics
0,2026-04-14T09:51:57.234571491Z,0,anomaly_score,security_metrics
0,2026-04-14T09:52:07.423232307Z,0,anomaly_score,security_metrics
0,2026-04-14T09:52:17.454513441Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:52:17.642577078Z,0,anomaly_score,security_metrics
0,2026-04-14T09:52:27.847348011Z,0,anomaly_score,security_metrics
0,2026-04-14T09:52:38.05674747Z,0,anomaly_score,security_metrics
0,2026-04-14T09:52:48.266811809Z,0,anomaly_score,security_metrics
0,2026-04-14T09:52:58.478172347Z,0,anomaly_score,security_metrics
0,2026-04-14T09:53:08.691679525Z,0,anomaly_score,security_metrics
0,2026-04-14T09:53:18.728372131Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:53:18.928193029Z,0,anomaly_score,security_metrics
0,2026-04-14T09:53:29.160108971Z,0,anomaly_score,security_metrics
0,2026-04-14T09:53:39.243249277Z,0.33792640055753786,anomaly_score,security_metrics
0,2026-04-14T09:53:49.33586404Z,0.314409832072869,anomaly_score,security_metrics
0,2026-04-14T09:53:59.422680074Z,0.30145920712596214,anomaly_score,security_metrics
0,2026-04-14T09:54:09.513500909Z,0.34241546688578495,anomaly_score,security_metrics
0,2026-04-14T09:54:19.55001776Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:54:19.624286095Z,0.3153052021549534,anomaly_score,security_metrics
0,2026-04-14T09:54:29.716439243Z,0.3127087156655374,anomaly_score,security_metrics
0,2026-04-14T09:54:39.812525496Z,0.337555798176045,anomaly_score,security_metrics
0,2026-04-14T09:54:49.908217047Z,0.33343783508229863,anomaly_score,security_metrics
0,2026-04-14T09:55:00.010749892Z,0.32770196218574893,anomaly_score,security_metrics
0,2026-04-14T09:55:10.113260032Z,0.3181501424860141,anomaly_score,security_metrics
0,2026-04-14T09:55:20.145693536Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:55:20.233408671Z,0.34712071188171784,anomaly_score,security_metrics
0,2026-04-14T09:55:30.336851649Z,0.19876838935790464,anomaly_score,security_metrics
0,2026-04-14T09:55:40.447624386Z,0.3112428156305179,anomaly_score,security_metrics
0,2026-04-14T09:55:50.560401668Z,0.3159479743483876,anomaly_score,security_metrics
0,2026-04-14T09:56:00.677439135Z,0.30757622891502756,anomaly_score,security_metrics
0,2026-04-14T09:56:10.789541627Z,0.3043962546297778,anomaly_score,security_metrics
0,2026-04-14T09:56:20.82775868Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:56:20.936397734Z,0.32833081271376285,anomaly_score,security_metrics
0,2026-04-14T09:56:31.059383891Z,0.34026025797608556,anomaly_score,security_metrics
0,2026-04-14T09:56:41.182746909Z,0.32714989974783576,anomaly_score,security_metrics
0,2026-04-14T09:56:51.205764498Z,-0.9,anomaly_score,security_metrics
0,2026-04-14T09:56:51.32633184Z,0.30460931818709674,anomaly_score,security_metrics
0,2026-04-14T09:57:01.345826743Z,-0.9,anomaly_score,security_metrics
0,2026-04-14T09:57:01.458344697Z,0.32141398127529147,anomaly_score,security_metrics
0,2026-04-14T09:57:11.47999965Z,-0.9,anomaly_score,security_metrics
0,2026-04-14T09:57:11.592061131Z,0.2918808141430065,anomaly_score,security_metrics
0,2026-04-14T09:57:21.615733142Z,-0.9,anomaly_score,security_metrics
0,2026-04-14T09:57:21.632211238Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:57:21.745331208Z,0.33343783508229863,anomaly_score,security_metrics
0,2026-04-14T09:57:31.76591764Z,-0.9,anomaly_score,security_metrics
0,2026-04-14T09:57:31.881486262Z,0.3472914616783024,anomaly_score,security_metrics
0,2026-04-14T09:57:41.904379595Z,-0.9,anomaly_score,security_metrics
0,2026-04-14T09:57:42.025110713Z,0.3431756712758672,anomaly_score,security_metrics
0,2026-04-14T09:57:52.185496728Z,0.3398259102592904,anomaly_score,security_metrics
0,2026-04-14T09:58:02.32057291Z,0.3303046818730582,anomaly_score,security_metrics
0,2026-04-14T09:58:12.464445055Z,0.34272534180840586,anomaly_score,security_metrics
0,2026-04-14T09:58:22.4990648Z,-0.95,anomaly_score,security_metrics
0,2026-04-14T09:58:22.629141092Z,0.32901397985970915,anomaly_score,security_metrics
0,2026-04-14T09:58:32.776584138Z,0.32088637103312473,anomaly_score,security_metrics
